"time","ax"
1.569903422E2,3.972085714E-1
1.569928738E2,3.828516304E-1
1.569954054E2,4.139583111E-1
1.569979369E2,4.067798555E-1
1.570004685E2,3.996013701E-1
1.570030001E2,4.331009090E-1
1.570055316E2,4.283152521E-1
1.570080632E2,3.756731451E-1
1.570105950E2,4.019941986E-1
1.570131266E2,3.948157430E-1
1.570156581E2,4.043870270E-1
1.570181897E2,4.115654826E-1
1.570207213E2,3.708875179E-1
1.570232529E2,4.259224236E-1
1.570257844E2,4.019941986E-1
1.570283160E2,4.043870270E-1
1.570308476E2,4.115654826E-1
1.570333791E2,3.972085714E-1
1.570359107E2,3.900300860E-1
1.570384422E2,4.115654826E-1
1.570409559E2,3.565305769E-1
1.570434875E2,3.876372576E-1
1.570460190E2,4.091726840E-1
1.570485506E2,3.948157430E-1
1.570510822E2,3.900300860E-1
1.570536138E2,3.804588020E-1
1.570561453E2,3.613162339E-1
1.570586769E2,3.589234054E-1
1.570612084E2,3.948157430E-1
1.570637401E2,4.307080805E-1
1.570662717E2,4.405784607E-1
1.570688032E2,4.091726840E-1
1.570713363E2,3.900300860E-1
1.570738678E2,4.187439680E-1
1.570763994E2,4.019941986E-1
1.570789310E2,3.996013701E-1
1.570814626E2,3.948157430E-1
1.570839941E2,4.187439680E-1
1.570865257E2,3.972085714E-1
1.570890572E2,3.756731451E-1
1.570915889E2,3.972085714E-1
1.570941204E2,3.684946895E-1
1.570966520E2,4.187439680E-1
1.570991836E2,4.187439680E-1
1.571017161E2,3.780659735E-1
1.571042477E2,4.381856322E-1
1.571067792E2,4.115654826E-1
1.571093108E2,4.043870270E-1
1.571118424E2,4.043870270E-1
1.571143740E2,3.804588020E-1
1.571169055E2,3.469592929E-1
1.571194371E2,3.852444589E-1
1.571219687E2,3.972085714E-1
1.571245003E2,3.900300860E-1
1.571270318E2,4.163511395E-1
1.571295634E2,3.996013701E-1
1.571321137E2,3.804588020E-1
1.571346453E2,3.948157430E-1
1.571371768E2,3.924229145E-1
1.571397084E2,3.924229145E-1
1.571422400E2,3.900300860E-1
1.571447716E2,3.876372576E-1
1.571473031E2,3.565305769E-1
1.571498347E2,4.043870270E-1
1.571523663E2,3.996013701E-1
1.571548979E2,3.493520916E-1
1.571574295E2,3.972085714E-1
1.571599610E2,4.525425732E-1
1.571624885E2,4.283152521E-1
1.571650201E2,3.948157430E-1
1.571675517E2,3.756731451E-1
1.571700833E2,4.043870270E-1
1.571726149E2,4.067798555E-1
1.571751464E2,4.211367965E-1
1.571776780E2,3.613162339E-1
1.571802096E2,3.828516304E-1
1.571827412E2,4.259224236E-1
1.571852727E2,4.283152521E-1
1.571878043E2,4.381856322E-1
1.571903359E2,3.876372576E-1
1.571928921E2,3.828516304E-1
1.571954238E2,3.996013701E-1
1.571979553E2,4.043870270E-1
1.572004869E2,4.187439680E-1
1.572030185E2,3.996013701E-1
1.572055501E2,3.780659735E-1
1.572080816E2,3.948157430E-1
1.572106132E2,4.067798555E-1
1.572131448E2,3.637090325E-1
1.572156764E2,3.972085714E-1
1.572182080E2,3.924229145E-1
1.572207395E2,4.357928336E-1
1.572232357E2,4.357928336E-1
1.572257673E2,3.756731451E-1
1.572282989E2,3.804588020E-1
1.572308305E2,4.139583111E-1
1.572333620E2,4.067798555E-1
1.572358936E2,3.780659735E-1
1.572384252E2,3.637090325E-1
1.572409568E2,4.019941986E-1
1.572434883E2,4.091726840E-1
1.572460199E2,3.732803464E-1
1.572485515E2,4.235295951E-1
1.572510831E2,3.996013701E-1
1.572536069E2,3.637090325E-1
1.572561385E2,3.756731451E-1
1.572586701E2,3.732803464E-1
1.572612017E2,3.780659735E-1
1.572637332E2,3.732803464E-1
1.572662648E2,4.259224236E-1
1.572687964E2,3.900300860E-1
1.572713280E2,3.445664644E-1
1.572738595E2,3.996013701E-1
1.572763911E2,3.924229145E-1
1.572789227E2,3.924229145E-1
1.572814543E2,3.900300860E-1
1.572839858E2,3.972085714E-1
1.572865174E2,3.804588020E-1
1.572890490E2,3.708875179E-1
1.572915806E2,4.115654826E-1
1.572941121E2,4.043870270E-1
1.572966437E2,3.972085714E-1
1.572991753E2,4.067798555E-1
1.573017069E2,3.876372576E-1
1.573042384E2,4.043870270E-1
1.573067700E2,4.331009090E-1
1.573093016E2,4.405784607E-1
1.573118332E2,4.187439680E-1
1.573143801E2,4.405784607E-1
1.573169117E2,4.091726840E-1
1.573194432E2,3.852444589E-1
1.573219749E2,3.852444589E-1
1.573245064E2,4.043870270E-1
1.573270380E2,3.804588020E-1
1.573295696E2,3.972085714E-1
1.573321012E2,4.091726840E-1
1.573346327E2,4.235295951E-1
1.573371643E2,4.453641176E-1
1.573396959E2,3.924229145E-1
1.573422275E2,3.876372576E-1
1.573447638E2,3.948157430E-1
1.573472954E2,3.852444589E-1
1.573498269E2,3.828516304E-1
1.573523585E2,3.852444589E-1
1.573548901E2,3.972085714E-1
1.573574217E2,3.948157430E-1
1.573599532E2,3.732803464E-1
1.573624849E2,3.924229145E-1
1.573650164E2,4.019941986E-1
1.573675480E2,3.900300860E-1
1.573700796E2,3.445664644E-1
1.573726112E2,3.924229145E-1
1.573751317E2,4.043870270E-1
1.573776632E2,3.684946895E-1
1.573801949E2,3.876372576E-1
1.573827264E2,4.115654826E-1
1.573852580E2,4.019941986E-1
1.573877896E2,4.091726840E-1
1.573903212E2,3.924229145E-1
1.573928527E2,3.661018610E-1
1.573953843E2,4.019941986E-1
1.573979159E2,4.067798555E-1
1.574004475E2,4.115654826E-1
1.574029790E2,3.493520916E-1
1.574054907E2,3.900300860E-1
1.574080223E2,3.828516304E-1
1.574105539E2,3.780659735E-1
1.574130854E2,4.043870270E-1
1.574156170E2,4.405784607E-1
1.574181486E2,3.804588020E-1
1.574206802E2,3.924229145E-1
1.574232117E2,3.804588020E-1
1.574257433E2,4.043870270E-1
1.574282749E2,3.876372576E-1
1.574308065E2,3.852444589E-1
1.574333381E2,4.091726840E-1
1.574358722E2,4.043870270E-1
1.574384038E2,3.900300860E-1
1.574409353E2,3.589234054E-1
1.574434669E2,4.307080805E-1
1.574459984E2,3.804588020E-1
1.574485301E2,3.900300860E-1
1.574510616E2,3.804588020E-1
1.574535932E2,3.517449200E-1
1.574561247E2,3.924229145E-1
1.574586564E2,3.780659735E-1
1.574611880E2,3.900300860E-1
1.574637195E2,4.163511395E-1
1.574662557E2,4.139583111E-1
1.574687874E2,3.469592929E-1
1.574713189E2,3.565305769E-1
1.574738505E2,3.828516304E-1
1.574763821E2,4.211367965E-1
1.574789137E2,3.852444589E-1
1.574814452E2,3.828516304E-1
1.574839768E2,3.924229145E-1
1.574865083E2,3.876372576E-1
1.574890400E2,4.091726840E-1
1.574915715E2,3.900300860E-1
1.574941031E2,3.708875179E-1
1.574966409E2,4.067798555E-1
1.574991725E2,3.924229145E-1
1.575017041E2,3.828516304E-1
1.575042357E2,3.852444589E-1
1.575067672E2,3.804588020E-1
1.575092988E2,3.972085714E-1
1.575118304E2,3.661018610E-1
1.575143620E2,3.996013701E-1
1.575168935E2,3.948157430E-1
1.575194251E2,3.948157430E-1
1.575219567E2,4.163511395E-1
1.575244883E2,3.804588020E-1
1.575270221E2,3.972085714E-1
1.575295537E2,4.357928336E-1
1.575320852E2,3.948157430E-1
1.575346168E2,3.541377485E-1
1.575371484E2,4.283152521E-1
1.575396800E2,3.948157430E-1
1.575422115E2,3.948157430E-1
1.575447431E2,3.852444589E-1
1.575472747E2,3.996013701E-1
1.575498063E2,3.900300860E-1
1.575523379E2,4.163511395E-1
1.575548694E2,4.235295951E-1
1.575574000E2,3.852444589E-1
1.575599316E2,4.115654826E-1
1.575624631E2,4.307080805E-1
1.575649947E2,3.732803464E-1
1.575675263E2,3.804588020E-1
1.575700579E2,3.732803464E-1
1.575725894E2,3.924229145E-1
1.575751210E2,3.828516304E-1
1.575776526E2,3.804588020E-1
1.575801842E2,3.948157430E-1
1.575827158E2,4.187439680E-1
1.575852474E2,4.139583111E-1
1.575877595E2,3.876372576E-1
1.575902911E2,3.732803464E-1
1.575928227E2,3.708875179E-1
1.575953543E2,3.852444589E-1
1.575978858E2,3.876372576E-1
1.576004174E2,4.043870270E-1
1.576029490E2,3.565305769E-1
1.576054806E2,4.043870270E-1
1.576080121E2,4.067798555E-1
1.576105437E2,3.828516304E-1
1.576130753E2,3.900300860E-1
1.576156069E2,3.972085714E-1
1.576181458E2,3.637090325E-1
1.576206774E2,4.043870270E-1
1.576232090E2,4.139583111E-1
1.576257406E2,3.493520916E-1
1.576282721E2,3.804588020E-1
1.576308037E2,3.924229145E-1
1.576333353E2,3.661018610E-1
1.576358669E2,3.684946895E-1
1.576383984E2,3.661018610E-1
1.576409300E2,4.067798555E-1
1.576434616E2,3.517449200E-1
1.576459932E2,3.900300860E-1
1.576485177E2,3.924229145E-1
1.576510493E2,3.732803464E-1
1.576535808E2,3.469592929E-1
1.576561124E2,3.756731451E-1
1.576586440E2,3.589234054E-1
1.576611756E2,3.828516304E-1
1.576637071E2,3.900300860E-1
1.576662387E2,4.019941986E-1
1.576687703E2,4.235295951E-1
1.576713019E2,3.996013701E-1
1.576738334E2,3.996013701E-1
1.576763650E2,4.357928336E-1
1.576789092E2,4.235295951E-1
1.576814408E2,3.852444589E-1
1.576839724E2,3.661018610E-1
1.576865040E2,3.852444589E-1
1.576890355E2,3.852444589E-1
1.576915671E2,4.115654826E-1
1.576940987E2,4.019941986E-1
1.576966303E2,3.996013701E-1
1.576991618E2,3.589234054E-1
1.577016934E2,3.948157430E-1
1.577042250E2,4.187439680E-1
1.577067566E2,4.115654826E-1
1.577092853E2,3.684946895E-1
1.577118168E2,3.996013701E-1
1.577143484E2,4.115654826E-1
1.577168800E2,3.948157430E-1
1.577194116E2,3.804588020E-1
1.577219431E2,3.445664644E-1
1.577244747E2,3.397808075E-1
1.577270063E2,3.876372576E-1
1.577295379E2,3.804588020E-1
1.577320695E2,3.924229145E-1
1.577346010E2,3.900300860E-1
1.577371326E2,3.852444589E-1
1.577396469E2,3.589234054E-1
1.577421785E2,3.996013701E-1
1.577447101E2,3.924229145E-1
1.577472417E2,3.852444589E-1
1.577497732E2,4.115654826E-1
1.577523048E2,4.163511395E-1
1.577548364E2,3.852444589E-1
1.577573680E2,3.996013701E-1
1.577598995E2,3.972085714E-1
1.577624311E2,3.517449200E-1
1.577649627E2,3.852444589E-1
1.577674943E2,4.187439680E-1
1.577700258E2,3.996013701E-1
1.577725574E2,3.708875179E-1
1.577750890E2,3.373879790E-1
1.577776206E2,3.613162339E-1
1.577801521E2,4.067798555E-1
1.577826837E2,4.043870270E-1
1.577852153E2,3.900300860E-1
1.577877469E2,4.019941986E-1
1.577902784E2,4.019941986E-1
1.577928100E2,3.732803464E-1
1.577953416E2,3.876372576E-1
1.577978732E2,4.211367965E-1
1.578004053E2,3.708875179E-1
1.578029369E2,3.756731451E-1
1.578054684E2,3.876372576E-1
1.578080000E2,4.283152521E-1
1.578105316E2,3.924229145E-1
1.578130632E2,3.924229145E-1
1.578155947E2,4.091726840E-1
1.578181264E2,3.876372576E-1
1.578206579E2,4.259224236E-1
1.578231895E2,4.381856322E-1
1.578257211E2,3.972085714E-1
1.578282527E2,4.163511395E-1
1.578307850E2,4.283152521E-1
1.578333166E2,4.357928336E-1
1.578358481E2,4.019941986E-1
1.578383797E2,3.804588020E-1
1.578409113E2,3.924229145E-1
1.578434429E2,3.804588020E-1
